type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,start_datetime,cycle_number
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,5122,05122.csv,1.8564874208181574,,,2008-04-02 15:25:00,0
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,5124,05124.csv,1.846327249719927,,,2008-04-02 19:43:00,1
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,5126,05126.csv,1.8353491942234077,,,2008-04-03 00:01:00,2
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,5128,05128.csv,1.8352625275821128,,,2008-04-03 04:16:00,3
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,5130,05130.csv,1.8346455082120419,,,2008-04-03 08:33:00,4
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,5132,05132.csv,1.8356616600675495,,,2008-04-03 12:55:00,5
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,5134,05134.csv,1.8351461429226603,,,2008-04-03 17:17:00,6
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,5136,05136.csv,1.8257567905665537,,,2008-04-03 21:28:00,7
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,5138,05138.csv,1.8247738529891333,,,2008-04-04 01:38:00,8
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,5140,05140.csv,1.824613268496936,,,2008-04-04 05:48:00,9
discharge,[2008.       4.       4.       9.      57.      19.765],24,B0005,21,5142,05142.csv,1.8246195526864504,,,2008-04-04 09:57:00,10
discharge,[2008.       4.       4.      17.      56.      27.609],24,B0005,24,5145,05145.csv,1.8142019357673917,,,2008-04-04 17:56:00,11
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,B0005,26,5147,05147.csv,1.8137521577549054,,,2008-04-04 22:01:00,12
discharge,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,B0005,28,5149,05149.csv,1.8134404914735822,,,2008-04-05 02:20:00,13
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,B0005,30,5151,05151.csv,1.8025980036306504,,,2008-04-05 06:25:00,14
discharge,[2008.       4.       5.      10.      30.      32.312],24,B0005,32,5153,05153.csv,1.80210690024615,,,2008-04-05 10:30:00,15
discharge,[2008.       4.       5.      14.      34.      41.468],24,B0005,34,5155,05155.csv,1.802579500826209,,,2008-04-05 14:34:00,16
discharge,[2008.       4.       5.      18.      39.      25.218],24,B0005,36,5157,05157.csv,1.8030683142834096,,,2008-04-05 18:39:00,17
discharge,[2008.       4.       5.      22.      46.      35.484],24,B0005,38,5159,05159.csv,1.8027776247196041,,,2008-04-05 22:46:00,18
discharge,[2008.       4.      18.      21.      10.      19.796],24,B0005,41,5162,05162.csv,1.8470259949329193,,,2008-04-18 21:10:00,19
discharge,[2008    4   19    2   29    9],24,B0005,45,5166,05166.csv,1.847417311283644,,,2008-04-19 02:29:00,20
discharge,[2008.       4.      19.       7.      47.      15.703],24,B0005,49,5170,05170.csv,1.8361774213478947,,,2008-04-19 07:47:00,21
discharge,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,B0005,53,5174,05174.csv,1.8257807475776242,,,2008-04-19 13:01:00,22
discharge,[2008.       4.      19.      18.      27.      29.828],24,B0005,57,5178,05178.csv,1.8251136435078368,,,2008-04-19 18:27:00,23
discharge,[2008.       4.      19.      23.      41.      55.687],24,B0005,61,5182,05182.csv,1.8255815042203762,,,2008-04-19 23:41:00,24
discharge,[2008.       4.      20.       4.      54.      41.734],24,B0005,65,5186,05186.csv,1.8140311275083907,,,2008-04-20 04:54:00,25
discharge,[2008.       4.      20.      10.      16.      28.859],24,B0005,69,5190,05190.csv,1.8147691941158939,,,2008-04-20 10:16:00,26
discharge,[2008.       4.      20.      15.      37.       5.281],24,B0005,73,5194,05194.csv,1.813969388710352,,,2008-04-20 15:37:00,27
discharge,[2008.       4.      20.      20.      50.      38.921],24,B0005,77,5198,05198.csv,1.802765665167823,,,2008-04-20 20:50:00,28
discharge,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,B0005,81,5202,05202.csv,1.804077040117352,,,2008-04-21 02:15:00,29
discharge,[2008.       4.      22.      15.      33.      49.875],24,B0005,85,5206,05206.csv,1.8518025516704486,,,2008-04-22 15:33:00,30
discharge,[2008.       4.      22.      20.      26.      18.921],24,B0005,89,5210,05210.csv,1.8307038456739428,,,2008-04-22 20:26:00,31
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,B0005,93,5214,05214.csv,1.8199041089501267,,,2008-04-23 01:18:00,32
discharge,[2008.       4.      23.       6.      18.      19.921],24,B0005,97,5218,05218.csv,1.8093079637028517,,,2008-04-23 06:18:00,33
discharge,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,B0005,101,5222,05222.csv,1.80460990458052,,,2008-04-23 11:08:00,34
discharge,[2008.       4.      23.      16.       6.      25.171],24,B0005,105,5226,05226.csv,1.7993770651972192,,,2008-04-23 16:06:00,35
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,B0005,109,5230,05230.csv,1.7884432335370462,,,2008-04-23 21:02:00,36
discharge,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,B0005,113,5234,05234.csv,1.7829230484252723,,,2008-04-24 01:51:00,37
discharge,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,B0005,117,5238,05238.csv,1.7730337158018288,,,2008-04-24 06:50:00,38
discharge,[2008.       4.      24.      11.      49.      24.281],24,B0005,121,5242,05242.csv,1.773037755078937,,,2008-04-24 11:49:00,39
discharge,[2008.       4.      24.      16.      45.      56.015],24,B0005,125,5246,05246.csv,1.7678721106662054,,,2008-04-24 16:45:00,40
discharge,[2008.       4.      24.      21.      38.      11.078],24,B0005,129,5250,05250.csv,1.7623150704093087,,,2008-04-24 21:38:00,41
discharge,[2008.       4.      25.      12.       3.      44.093],24,B0005,133,5254,05254.csv,1.7676172924938447,,,2008-04-25 12:03:00,42
discharge,[2008.       4.      25.      20.       3.      55.921],24,B0005,135,5256,05256.csv,1.762668359743147,,,2008-04-25 20:03:00,43
discharge,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01],24,B0005,139,5260,05260.csv,1.7517304870664143,,,2008-04-26 01:04:00,44
discharge,[2008.      4.     26.      5.     57.     35.14],24,B0005,143,5264,05264.csv,1.7418496047960008,,,2008-04-26 05:57:00,45
discharge,[2008.       4.      26.      10.      58.      25.843],24,B0005,147,5268,05268.csv,1.7360913511847138,,,2008-04-26 10:58:00,46
discharge,[2008.       4.      29.      12.      15.      56.953],24,B0005,149,5270,05270.csv,1.7936240148573608,,,2008-04-29 12:15:00,47
discharge,[2008.       4.      29.      17.       5.      27.781],24,B0005,153,5274,05274.csv,1.7831890223273275,,,2008-04-29 17:05:00,48
discharge,[2008.      4.     29.     22.      0.      4.75],24,B0005,157,5278,05278.csv,1.7673642076278957,,,2008-04-29 22:00:00,49
discharge,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01],24,B0005,161,5282,05282.csv,1.7570177850353066,,,2008-04-30 02:43:00,50
discharge,[2008.       4.      30.       7.      41.      42.578],24,B0005,165,5286,05286.csv,1.7468706179837907,,,2008-04-30 07:41:00,51
discharge,[2008.       4.      30.      12.      28.      49.265],24,B0005,169,5290,05290.csv,1.7417172507457144,,,2008-04-30 12:28:00,52
discharge,[2008.      4.     30.     17.     20.     16.14],24,B0005,173,5294,05294.csv,1.7364225056478186,,,2008-04-30 17:20:00,53
discharge,[2008.       4.      30.      22.      14.      54.062],24,B0005,177,5298,05298.csv,1.7263217239235826,,,2008-04-30 22:14:00,54
discharge,[2.008e+03 5.000e+00 1.000e+00 3.000e+00 1.500e+01 3.314e+01],24,B0005,181,5302,05302.csv,1.7158065389330133,,,2008-05-01 03:15:00,55
discharge,[2.008e+03 5.000e+00 1.000e+00 8.000e+00 1.600e+01 3.343e+00],24,B0005,185,5306,05306.csv,1.710533351135192,,,2008-05-01 08:16:00,56
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01],24,B0005,189,5310,05310.csv,1.706014499648521,,,2008-05-01 13:14:00,57
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01],24,B0005,193,5314,05314.csv,1.7003110272642588,,,2008-05-01 18:11:00,58
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 2.3000e+01 1.0000e+01 1.5265e+01],24,B0005,197,5318,05318.csv,1.6945798601797895,,,2008-05-01 23:10:00,59
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 5.3000e+01 3.4765e+01],24,B0005,201,5322,05322.csv,1.6849029086609286,,,2008-05-02 03:53:00,60
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 4.4000e+01 4.0859e+01],24,B0005,205,5326,05326.csv,1.6744741591159717,,,2008-05-02 08:44:00,61
discharge,[2.008e+03 5.000e+00 2.000e+00 1.300e+01 4.300e+01 5.093e+00],24,B0005,209,5330,05330.csv,1.6745692479879102,,,2008-05-02 13:43:00,62
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 1.9000e+01 7.0000e+00 4.8359e+01],24,B0005,213,5334,05334.csv,1.663716375981405,,,2008-05-02 19:07:00,63
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 2.3000e+01 2.4000e+01 1.7687e+01],24,B0005,215,5336,05336.csv,1.659013868748246,,,2008-05-02 23:24:00,64
discharge,[2008.       5.       3.       4.      13.       8.609],24,B0005,219,5340,05340.csv,1.6538540573335014,,,2008-05-03 04:13:00,65
discharge,[2008.       5.       3.       9.      10.      19.812],24,B0005,223,5344,05344.csv,1.642653782130131,,,2008-05-03 09:10:00,66
discharge,[2008.       5.       3.      14.       4.      34.187],24,B0005,227,5348,05348.csv,1.6378578430223698,,,2008-05-03 14:04:00,67
discharge,[2008.       5.       3.      18.      58.      13.468],24,B0005,231,5352,05352.csv,1.6327350407099108,,,2008-05-03 18:58:00,68
discharge,[2008.       5.       3.      23.      42.      30.093],24,B0005,235,5356,05356.csv,1.6277528915533617,,,2008-05-03 23:42:00,69
discharge,[2008    5    4    4   41   40],24,B0005,239,5360,05360.csv,1.622125485521159,,,2008-05-04 04:41:00,70
discharge,[2008.       5.       4.       9.      40.      11.906],24,B0005,243,5364,05364.csv,1.6113256603765849,,,2008-05-04 09:40:00,71
discharge,[2008.       5.       4.      14.      38.      13.359],24,B0005,247,5368,05368.csv,1.6065631397488385,,,2008-05-04 14:38:00,72
discharge,[2008.      5.      4.     19.     37.      7.89],24,B0005,251,5372,05372.csv,1.6015142233917594,,,2008-05-04 19:37:00,73
